# Race: Unknown
# Tenant: kullamannen
# Year: 2025
# Race URI: 10675.kullamannenbyutmbultra100miles.2025
# Total Finishers: 650
# Scraped: 2025-12-04T15:51:57.294562
rank_scratch,name,race_time,race_time_seconds,country,country_code,age_group,sex,utmb_index,utmb_score,runner_uri,utmb_profile_url
308.0,Catrine BARKENTIN,31:45:00,114300.0,Sweden,SE,55-59,F,,,3022675.catrine.barkentin,https://utmb.world/runner/3022675.catrine.barkentin
309.0,Erik JOHANSSON,31:45:11,114311.0,Sweden,SE,20-34,H,,,5136085.erik.johansson,https://utmb.world/runner/5136085.erik.johansson
310.0,Martin KRAENZMER,31:47:52,114472.0,Sweden,SE,60-64,H,,,293493.martin.kraenzmer,https://utmb.world/runner/293493.martin.kraenzmer
311.0,Karim LAHMINI,31:51:13,114673.0,Finland,FI,45-49,H,,,3015189.karim.lahmini,https://utmb.world/runner/3015189.karim.lahmini
312.0,Anonymous,31:51:42,114702.0,Sweden,SE,40-44,H,,,,
313.0,Conny E ANDERBERG,31:56:37,114997.0,Sweden,SE,55-59,H,,,2576879.conny.eanderberg,https://utmb.world/runner/2576879.conny.eanderberg
314.0,Vinh NORBERG NGUYEN,31:57:55,115075.0,Sweden,SE,40-44,H,,,5233307.vinh.norbergnguyen,https://utmb.world/runner/5233307.vinh.norbergnguyen
,Julien LURTON,,,France,FR,20-34,H,,,6314220.julien.lurton,https://utmb.world/runner/6314220.julien.lurton
,Olle ZETTERBERG,,,Sweden,SE,20-34,H,,,6461544.olle.zetterberg,https://utmb.world/runner/6461544.olle.zetterberg
,Niklas JONSSON,,,Sweden,SE,40-44,H,,,6770801.niklas.jonsson,https://utmb.world/runner/6770801.niklas.jonsson
,Mats HEDLUND,,,Sweden,SE,40-44,H,,,4200848.mats.hedlund,https://utmb.world/runner/4200848.mats.hedlund
,Joakim OHLANDER,,,Sweden,SE,20-34,H,,,6770703.joakim.ohlander,https://utmb.world/runner/6770703.joakim.ohlander
,Klas ALENLJUNG,,,Sweden,SE,45-49,H,,,4301530.klas.alenljung,https://utmb.world/runner/4301530.klas.alenljung
,Nils NYBERG,,,Sweden,SE,20-34,H,,,5398427.nils.nyberg,https://utmb.world/runner/5398427.nils.nyberg
,Joakim TUOVINEN,,,Sweden,SE,40-44,H,,,5742251.joakim.tuovinen,https://utmb.world/runner/5742251.joakim.tuovinen
,Daniel SKJELHAUGEN,,,Norway,NO,20-34,H,,,6113444.daniel.skjelhaugen,https://utmb.world/runner/6113444.daniel.skjelhaugen
,Stefan BOLLING,,,Sweden,SE,50-54,H,,,5742237.stefan.bolling,https://utmb.world/runner/5742237.stefan.bolling
,Peter EDVIK,,,Sweden,SE,50-54,H,,,551640.peter.edvik,https://utmb.world/runner/551640.peter.edvik
,Lukas SVENSSON,,,Sweden,SE,20-34,H,,,6461130.lukas.svensson,https://utmb.world/runner/6461130.lukas.svensson
,Raymond SMITH,,,Norway,NO,45-49,H,,,5227735.raymond.smith,https://utmb.world/runner/5227735.raymond.smith
,Kristian HEDENDAL,,,Sweden,SE,45-49,H,,,4934638.kristian.hedendal,https://utmb.world/runner/4934638.kristian.hedendal
,Jennie STAHRE,,,Sweden,SE,45-49,F,,,2272209.jennie.stahre,https://utmb.world/runner/2272209.jennie.stahre
,Kent ANDERSSON,,,Sweden,SE,50-54,H,,,5479376.kent.andersson,https://utmb.world/runner/5479376.kent.andersson
,Ola PETERSSON,,,Sweden,SE,50-54,H,,,1658643.ola.petersson,https://utmb.world/runner/1658643.ola.petersson
,Daniel TORNVALL,,,Sweden,SE,35-39,H,,,4823898.daniel.tornvall,https://utmb.world/runner/4823898.daniel.tornvall
,Oscar SKULLMAN,,,Sweden,SE,20-34,H,,,5801351.oscar.skullman,https://utmb.world/runner/5801351.oscar.skullman
,Bo HÖGBERG,,,Sweden,SE,35-39,H,,,4528300.bo.hogberg,https://utmb.world/runner/4528300.bo.hogberg
,Nicklas NORDBORG,,,Sweden,SE,55-59,H,,,3816149.nicklas.nordborg,https://utmb.world/runner/3816149.nicklas.nordborg
,Johanna SVENSSON,,,Sweden,SE,55-59,F,,,3407253.johanna.svensson,https://utmb.world/runner/3407253.johanna.svensson
,Anonymous,,,Sweden,SE,50-54,H,,,,
,Tommy SWING,,,Sweden,SE,50-54,H,,,5742129.tommy.swing,https://utmb.world/runner/5742129.tommy.swing
,Anna LARSSON,,,Sweden,SE,40-44,F,,,4715900.anna.larsson,https://utmb.world/runner/4715900.anna.larsson
,Grégory BOURGARD,,,Belgium,BE,40-44,H,,,1460663.gregory.bourgard,https://utmb.world/runner/1460663.gregory.bourgard
,Jacob DE LEUR,,,Sweden,SE,50-54,H,,,5912895.jacob.deleur,https://utmb.world/runner/5912895.jacob.deleur
,Malin ENGRUND,,,Sweden,SE,50-54,F,,,6770619.malin.engrund,https://utmb.world/runner/6770619.malin.engrund
,Per GUSTAVSSON,,,Sweden,SE,60-64,H,,,6461200.per.gustavsson,https://utmb.world/runner/6461200.per.gustavsson
,Erik GUSTAFSSON,,,Sweden,SE,50-54,H,,,1620099.erik.gustafsson,https://utmb.world/runner/1620099.erik.gustafsson
,Mikaela SVENSSON,,,Sweden,SE,20-34,F,,,5061875.mikaela.svensson,https://utmb.world/runner/5061875.mikaela.svensson
,Uldis GALBALINS,,,Latvia,LV,20-34,H,,,5599293.uldis.galbalins,https://utmb.world/runner/5599293.uldis.galbalins
,Daniel Elowsson,,,Sweden,SE,40-44,H,,,7809827.daniel.elowsson,https://utmb.world/runner/7809827.daniel.elowsson
,Madelene FELLÄNDER,,,Sweden,SE,40-44,F,,,5479160.madelene.fellander,https://utmb.world/runner/5479160.madelene.fellander
,Sofia WALLTOFT,,,Sweden,SE,45-49,F,,,2292565.sofia.walltoft,https://utmb.world/runner/2292565.sofia.walltoft
,Mats NÄS,,,Sweden,SE,50-54,H,,,4528488.mats.nas,https://utmb.world/runner/4528488.mats.nas
,Fredrik KLAAR,,,Sweden,SE,50-54,H,,,5479768.fredrik.klaar,https://utmb.world/runner/5479768.fredrik.klaar
,Patrik ÖNNHEIM (Patrik ONNHEIM),,,Sweden,SE,40-44,H,,,3985953.patrik.onnheim,https://utmb.world/runner/3985953.patrik.onnheim
,Marko AROTAIVAL,,,Sweden,SE,55-59,H,,,691602.marko.arotaival,https://utmb.world/runner/691602.marko.arotaival
,Bart WISSINK,,,Netherlands,NL,40-44,H,,,5078929.bart.wissink,https://utmb.world/runner/5078929.bart.wissink
,Yann BENZ,,,France,FR,50-54,H,,,4217636.yann.benz,https://utmb.world/runner/4217636.yann.benz
,Christian JOHANSSON,,,Sweden,SE,45-49,H,,,6770823.christian.johansson,https://utmb.world/runner/6770823.christian.johansson
,Mads DOLLERIS,,,Denmark,DK,45-49,H,,,837242.mads.dolleris,https://utmb.world/runner/837242.mads.dolleris
,Karl-Johan MELÉN,,,Sweden,SE,20-34,H,,,5479538.karljohan.melen,https://utmb.world/runner/5479538.karljohan.melen
,Barbro JULIN,,,Sweden,SE,60-64,F,,,4245776.barbro.julin,https://utmb.world/runner/4245776.barbro.julin
,Gunnar KARLSSON,,,Sweden,SE,55-59,H,,,5638406.gunnar.karlsson,https://utmb.world/runner/5638406.gunnar.karlsson
,Ossian ANDERSSON,,,Sweden,SE,20-34,H,,,6770709.ossian.andersson,https://utmb.world/runner/6770709.ossian.andersson
,Cédric QUENARDEL,,,France,FR,20-34,H,,,4863589.cedric.quenardel,https://utmb.world/runner/4863589.cedric.quenardel
,Monica JOHANSSON,,,Sweden,SE,45-49,F,,,1858289.monica.johansson,https://utmb.world/runner/1858289.monica.johansson
,Oscar ISAKSSON,,,Sweden,SE,35-39,H,,,4301448.oscar.isaksson,https://utmb.world/runner/4301448.oscar.isaksson
,Maria SAXVALL,,,Sweden,SE,40-44,F,,,1630619.maria.saxvall,https://utmb.world/runner/1630619.maria.saxvall
,Thomas MELEN,,,Sweden,SE,60-64,H,,,532722.thomas.melen,https://utmb.world/runner/532722.thomas.melen
,Nicolaj HØJER,,,Sweden,SE,50-54,H,,,6770621.nicolaj.hojer,https://utmb.world/runner/6770621.nicolaj.hojer
,Pål ABRAHAMSSON,,,Sweden,SE,55-59,H,,,4201875.pal.abrahamsson,https://utmb.world/runner/4201875.pal.abrahamsson
,Margareta WILUND,,,Sweden,SE,50-54,F,,,4680012.margareta.wilund,https://utmb.world/runner/4680012.margareta.wilund
,Anders ISAKSSON,,,Sweden,SE,50-54,H,,,3585569.anders.isaksson,https://utmb.world/runner/3585569.anders.isaksson
,Catharina SÖRVING,,,Sweden,SE,20-34,F,,,4682390.catharina.sorving,https://utmb.world/runner/4682390.catharina.sorving
,Johan ASPLUND,,,Sweden,SE,50-54,H,,,5068663.johan.asplund,https://utmb.world/runner/5068663.johan.asplund
,Andrzej LOSOR,,,Poland,PL,50-54,H,,,1964691.andrzej.losor,https://utmb.world/runner/1964691.andrzej.losor
